Surprisal, VerbCondition, FillerCondition, EmbeddingLevel
18.651276,V-sg,N-pl,1
17.471115,V-pl,N-pl,1
19.166397,V-sg,N-pl,1
17.817535,V-pl,N-pl,1
18.990614,V-sg,N-pl,1
17.07995,V-pl,N-pl,1
19.208605,V-sg,N-pl,1
17.837467,V-pl,N-pl,1
19.195505,V-sg,N-pl,1
17.841108,V-pl,N-pl,1
19.385569,V-sg,N-pl,1
18.274336,V-pl,N-pl,1
19.096615,V-sg,N-pl,1
17.599733,V-pl,N-pl,1
20.066746,V-sg,N-pl,1
17.988998,V-pl,N-pl,1
20.479116,V-sg,N-pl,1
17.661484,V-pl,N-pl,1
19.561142,V-sg,N-pl,1
17.406246,V-pl,N-pl,1
20.262041,V-sg,N-pl,1
17.999355,V-pl,N-pl,1
19.1043,V-sg,N-pl,1
17.382998,V-pl,N-pl,1
20.92345,V-sg,N-pl,1
17.760939,V-pl,N-pl,1
19.199886,V-sg,N-pl,1
17.22283,V-pl,N-pl,1
18.68298,V-sg,N-pl,1
16.011894,V-pl,N-pl,1
18.356573,V-sg,N-pl,1
17.056725,V-pl,N-pl,1
19.306364,V-sg,N-pl,1
17.390053,V-pl,N-pl,1
19.529278,V-sg,N-pl,1
17.780172,V-pl,N-pl,1
18.854084,V-sg,N-pl,1
17.16236,V-pl,N-pl,1
18.057621,V-sg,N-pl,1
16.970911,V-pl,N-pl,1
17.038698,V-sg,N-sg,1
23.023441,V-pl,N-sg,1
16.998419,V-sg,N-sg,1
23.349812,V-pl,N-sg,1
16.987751,V-sg,N-sg,1
22.311794,V-pl,N-sg,1
17.12046,V-sg,N-sg,1
21.816132,V-pl,N-sg,1
17.518839,V-sg,N-sg,1
23.283146,V-pl,N-sg,1
17.589808,V-sg,N-sg,1
23.172106,V-pl,N-sg,1
17.51399,V-sg,N-sg,1
23.736296,V-pl,N-sg,1
18.107792,V-sg,N-sg,1
23.615276,V-pl,N-sg,1
19.06872,V-sg,N-sg,1
23.400074,V-pl,N-sg,1
18.032324,V-sg,N-sg,1
22.737085,V-pl,N-sg,1
18.154877,V-sg,N-sg,1
23.598719,V-pl,N-sg,1
17.087053,V-sg,N-sg,1
22.372362,V-pl,N-sg,1
19.080103,V-sg,N-sg,1
23.68718,V-pl,N-sg,1
16.6034,V-sg,N-sg,1
22.756086,V-pl,N-sg,1
15.9302635,V-sg,N-sg,1
20.95163,V-pl,N-sg,1
16.57169,V-sg,N-sg,1
22.225203,V-pl,N-sg,1
17.644547,V-sg,N-sg,1
22.84254,V-pl,N-sg,1
17.992172,V-sg,N-sg,1
23.259806,V-pl,N-sg,1
17.333109,V-sg,N-sg,1
23.24186,V-pl,N-sg,1
17.340275,V-sg,N-sg,1
23.011576,V-pl,N-sg,1
18.65422,V-sg,N-pl,2
15.009301,V-pl,N-pl,2
19.312845,V-sg,N-pl,2
15.149489,V-pl,N-pl,2
17.805363,V-sg,N-pl,2
14.351456,V-pl,N-pl,2
17.922005,V-sg,N-pl,2
15.258205,V-pl,N-pl,2
18.25745,V-sg,N-pl,2
14.57865,V-pl,N-pl,2
18.36719,V-sg,N-pl,2
14.823973,V-pl,N-pl,2
17.82457,V-sg,N-pl,2
15.4335985,V-pl,N-pl,2
18.395565,V-sg,N-pl,2
15.036317,V-pl,N-pl,2
18.646334,V-sg,N-pl,2
14.567731,V-pl,N-pl,2
17.805704,V-sg,N-pl,2
14.3724785,V-pl,N-pl,2
18.82654,V-sg,N-pl,2
15.099475,V-pl,N-pl,2
17.836092,V-sg,N-pl,2
14.851871,V-pl,N-pl,2
18.696825,V-sg,N-pl,2
14.196284,V-pl,N-pl,2
17.586493,V-sg,N-pl,2
14.576604,V-pl,N-pl,2
18.161772,V-sg,N-pl,2
13.994189,V-pl,N-pl,2
16.7842,V-sg,N-pl,2
14.198429,V-pl,N-pl,2
17.958454,V-sg,N-pl,2
14.662738,V-pl,N-pl,2
18.278555,V-sg,N-pl,2
